index,opening,eco,date,event,player_name,opponent_name,color,result,moves,rating,rating_difference,distance,distance_difference,effort,effort_difference
29,"Italian Game: Two Knights Defense, Modern Bishop's Opening",C55,2024.04.13,FIDE Candidates 2024,Gukesh D,"Vidit, Santosh Gujrathi",0,1,38,2743,16,81.5,20.0,2.14,0.53
30,"Ruy Lopez: Morphy Defense, Anderssen Variation",C77,2024.04.13,FIDE Candidates 2024,"Nakamura, Hikaru","Caruana, Fabiano",1,1,35,2789,-14,56.0,1.5,1.6,-0.0
30,"Ruy Lopez: Morphy Defense, Anderssen Variation",C77,2024.04.13,FIDE Candidates 2024,"Caruana, Fabiano","Nakamura, Hikaru",0,-1,35,2803,14,54.5,-1.5,1.6,0.0
31,Russian Game: French Attack,C42,2024.04.13,FIDE Candidates 2024,"Nepomniachtchi, Ian","Abasov, Nijat",1,0,63,2758,126,99.5,-7.5,1.58,-0.15
31,Russian Game: French Attack,C42,2024.04.13,FIDE Candidates 2024,"Abasov, Nijat","Nepomniachtchi, Ian",0,0,63,2632,-126,107.0,7.5,1.73,0.15
32,"Italian Game: Two Knights Defense, Modern Bishop's Opening",C55,2024.04.14,FIDE Candidates 2024,"Vidit, Santosh Gujrathi","Nakamura, Hikaru",1,1,36,2727,-62,64.0,3.0,1.78,0.04
32,"Italian Game: Two Knights Defense, Modern Bishop's Opening",C55,2024.04.14,FIDE Candidates 2024,"Nakamura, Hikaru","Vidit, Santosh Gujrathi",0,-1,36,2789,62,61.0,-3.0,1.74,-0.04
33,"Ruy Lopez: Morphy Defense, Anderssen Variation",C77,2024.04.14,FIDE Candidates 2024,Gukesh D,Praggnanandhaa R,1,0,41,2743,-4,75.0,13.0,1.83,0.28
33,"Ruy Lopez: Morphy Defense, Anderssen Variation",C77,2024.04.14,FIDE Candidates 2024,Praggnanandhaa R,Gukesh D,0,0,41,2747,4,62.0,-13.0,1.55,-0.28
34,Nimzo-Larsen Attack: Classical Variation,A06,2024.04.14,FIDE Candidates 2024,"Firouzja, Alireza","Nepomniachtchi, Ian",1,0,44,2760,2,79.5,14.5,1.81,0.33
34,Nimzo-Larsen Attack: Classical Variation,A06,2024.04.14,FIDE Candidates 2024,"Nepomniachtchi, Ian","Firouzja, Alireza",0,0,44,2758,-2,65.0,-14.5,1.48,-0.33
35,Queen's Gambit Declined: Queen's Knight Variation,D31,2024.04.14,FIDE Candidates 2024,"Abasov, Nijat","Caruana, Fabiano",1,0,44,2632,-171,71.5,-25.5,1.62,-0.63
35,Queen's Gambit Declined: Queen's Knight Variation,D31,2024.04.14,FIDE Candidates 2024,"Caruana, Fabiano","Abasov, Nijat",0,0,44,2803,171,97.0,25.5,2.26,0.63
36,Ruy Lopez: Berlin Defense,C65,2024.04.15,FIDE Candidates 2024,Praggnanandhaa R,"Vidit, Santosh Gujrathi",1,0,39,2747,20,68.0,14.5,1.74,0.37
36,Ruy Lopez: Berlin Defense,C65,2024.04.15,FIDE Candidates 2024,"Vidit, Santosh Gujrathi",Praggnanandhaa R,0,0,39,2727,-20,53.5,-14.5,1.37,-0.37
37,Russian Game: French Attack,C42,2024.04.15,FIDE Candidates 2024,"Nakamura, Hikaru","Abasov, Nijat",1,1,58,2789,157,108.5,19.5,1.87,0.31
37,Russian Game: French Attack,C42,2024.04.15,FIDE Candidates 2024,"Abasov, Nijat","Nakamura, Hikaru",0,-1,58,2632,-157,89.0,-19.5,1.56,-0.31
38,"Ruy Lopez: Morphy Defense, Cozio Defense",C70,2024.04.15,FIDE Candidates 2024,"Nepomniachtchi, Ian",Gukesh D,1,0,40,2758,15,85.0,16.0,2.12,0.4
38,"Ruy Lopez: Morphy Defense, Cozio Defense",C70,2024.04.15,FIDE Candidates 2024,Gukesh D,"Nepomniachtchi, Ian",0,0,40,2743,-15,69.0,-16.0,1.72,-0.4
39,"Sicilian Defense: Najdorf Variation, Freak Attack",B90,2024.04.15,FIDE Candidates 2024,"Caruana, Fabiano","Firouzja, Alireza",1,1,47,2803,43,82.0,3.0,1.74,0.03
39,"Sicilian Defense: Najdorf Variation, Freak Attack",B90,2024.04.15,FIDE Candidates 2024,"Firouzja, Alireza","Caruana, Fabiano",0,-1,47,2760,-43,79.0,-3.0,1.72,-0.03
40,Queen's Pawn Game: Symmetrical Variation,D02,2024.04.17,FIDE Candidates 2024,Praggnanandhaa R,"Nakamura, Hikaru",1,-1,54,2747,-42,83.0,-15.0,1.54,-0.28
40,Queen's Pawn Game: Symmetrical Variation,D02,2024.04.17,FIDE Candidates 2024,"Nakamura, Hikaru",Praggnanandhaa R,0,1,54,2789,42,98.0,15.0,1.82,0.28
41,Russian Game: Paulsen Attack,C42,2024.04.17,FIDE Candidates 2024,"Vidit, Santosh Gujrathi","Nepomniachtchi, Ian",1,-1,67,2727,-31,117.5,14.5,1.75,0.22
41,Russian Game: Paulsen Attack,C42,2024.04.17,FIDE Candidates 2024,"Nepomniachtchi, Ian","Vidit, Santosh Gujrathi",0,1,67,2758,31,103.0,-14.5,1.54,-0.22
42,Queen's Gambit Declined: Barmen Variation,D37,2024.04.17,FIDE Candidates 2024,Gukesh D,"Caruana, Fabiano",1,0,40,2743,-60,67.5,-6.0,1.69,-0.15
42,Queen's Gambit Declined: Barmen Variation,D37,2024.04.17,FIDE Candidates 2024,"Caruana, Fabiano",Gukesh D,0,0,40,2803,60,73.5,6.0,1.84,0.15
43,Zukertort Opening: Nimzo-Larsen Variation,A05,2024.04.17,FIDE Candidates 2024,"Firouzja, Alireza","Abasov, Nijat",1,1,24,2760,128,46.5,4.5,1.94,0.11
43,Zukertort Opening: Nimzo-Larsen Variation,A05,2024.04.17,FIDE Candidates 2024,"Abasov, Nijat","Firouzja, Alireza",0,-1,24,2632,-128,42.0,-4.5,1.83,-0.11
44,French Defense: Exchange Variation,C01,2024.04.18,FIDE Candidates 2024,"Nepomniachtchi, Ian",Praggnanandhaa R,1,0,55,2758,11,80.0,-5.0,1.46,-0.12
44,French Defense: Exchange Variation,C01,2024.04.18,FIDE Candidates 2024,Praggnanandhaa R,"Nepomniachtchi, Ian",0,0,55,2747,-11,85.0,5.0,1.57,0.12
45,French Defense: Exchange Variation,C01,2024.04.18,FIDE Candidates 2024,"Nakamura, Hikaru","Firouzja, Alireza",1,1,52,2789,29,89.0,-2.5,1.71,-0.08
45,French Defense: Exchange Variation,C01,2024.04.18,FIDE Candidates 2024,"Firouzja, Alireza","Nakamura, Hikaru",0,-1,52,2760,-29,91.5,2.5,1.79,0.08
46,Nimzo-Indian Defense: Classical Variation,E32,2024.04.18,FIDE Candidates 2024,"Abasov, Nijat",Gukesh D,1,-1,57,2632,-111,86.0,-4.0,1.51,-0.07
46,Nimzo-Indian Defense: Classical Variation,E32,2024.04.18,FIDE Candidates 2024,Gukesh D,"Abasov, Nijat",0,1,57,2743,111,90.0,4.0,1.58,0.07
47,"Italian Game: Classical Variation, Giuoco Pianissimo",C54,2024.04.18,FIDE Candidates 2024,"Caruana, Fabiano","Vidit, Santosh Gujrathi",1,1,52,2803,76,100.5,14.0,1.93,0.24
47,"Italian Game: Classical Variation, Giuoco Pianissimo",C54,2024.04.18,FIDE Candidates 2024,"Vidit, Santosh Gujrathi","Caruana, Fabiano",0,-1,52,2727,-76,86.5,-14.0,1.7,-0.24
48,"Ruy Lopez: Morphy Defense, Classical Defense Deferred",C70,2024.04.20,FIDE Candidates 2024,"Nepomniachtchi, Ian","Nakamura, Hikaru",1,0,27,2758,-31,46.0,-1.0,1.7,-0.1
48,"Ruy Lopez: Morphy Defense, Classical Defense Deferred",C70,2024.04.20,FIDE Candidates 2024,"Nakamura, Hikaru","Nepomniachtchi, Ian",0,0,27,2789,31,47.0,1.0,1.81,0.1
49,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,B30,2024.04.20,FIDE Candidates 2024,Praggnanandhaa R,"Caruana, Fabiano",1,-1,89,2747,-56,139.0,-8.0,1.56,-0.09
49,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,B30,2024.04.20,FIDE Candidates 2024,"Caruana, Fabiano",Praggnanandhaa R,0,1,89,2803,56,147.0,8.0,1.65,0.09
50,"Russian Game: Classical Attack, Mason-Showalter Variation",C42,2024.04.20,FIDE Candidates 2024,"Vidit, Santosh Gujrathi","Abasov, Nijat",1,0,31,2727,95,49.0,-0.5,1.58,-0.02
50,"Russian Game: Classical Attack, Mason-Showalter Variation",C42,2024.04.20,FIDE Candidates 2024,"Abasov, Nijat","Vidit, Santosh Gujrathi",0,0,31,2632,-95,49.5,0.5,1.6,0.02
51,Ruy Lopez: Berlin Defense,C65,2024.04.20,FIDE Candidates 2024,Gukesh D,"Firouzja, Alireza",1,1,63,2743,-17,107.0,6.5,1.7,0.08
51,Ruy Lopez: Berlin Defense,C65,2024.04.20,FIDE Candidates 2024,"Firouzja, Alireza",Gukesh D,0,-1,63,2760,17,100.5,-6.5,1.62,-0.08
52,"Queen's Gambit Accepted: Normal Variation, Traditional System",D26,2024.04.21,FIDE Candidates 2024,"Nakamura, Hikaru",Gukesh D,1,0,71,2789,46,129.0,1.5,1.82,-0.0
52,"Queen's Gambit Accepted: Normal Variation, Traditional System",D26,2024.04.21,FIDE Candidates 2024,Gukesh D,"Nakamura, Hikaru",0,0,71,2743,-46,127.5,-1.5,1.82,0.0
53,"Queen's Gambit Declined: Exchange Variation, Positional Variation",D35,2024.04.21,FIDE Candidates 2024,"Caruana, Fabiano","Nepomniachtchi, Ian",1,0,109,2803,45,212.0,37.0,1.94,0.32
53,"Queen's Gambit Declined: Exchange Variation, Positional Variation",D35,2024.04.21,FIDE Candidates 2024,"Nepomniachtchi, Ian","Caruana, Fabiano",0,0,109,2758,-45,175.0,-37.0,1.62,-0.32
54,"Ruy Lopez: Open Berlin Defense, l'Hermet Variation",C67,2024.04.21,FIDE Candidates 2024,"Firouzja, Alireza","Vidit, Santosh Gujrathi",1,0,14,2760,33,26.0,5.5,1.86,0.39
54,"Ruy Lopez: Open Berlin Defense, l'Hermet Variation",C67,2024.04.21,FIDE Candidates 2024,"Vidit, Santosh Gujrathi","Firouzja, Alireza",0,0,14,2727,-33,20.5,-5.5,1.46,-0.39
55,"King's Indian Defense: Fianchetto Variation, Classical Variation",E68,2024.04.21,FIDE Candidates 2024,"Abasov, Nijat",Praggnanandhaa R,1,-1,53,2632,-115,85.0,-13.0,1.6,-0.24
55,"King's Indian Defense: Fianchetto Variation, Classical Variation",E68,2024.04.21,FIDE Candidates 2024,Praggnanandhaa R,"Abasov, Nijat",0,1,53,2747,115,98.0,13.0,1.85,0.24
